player_id,spin_rate_2020,movement_inches_2020,active_spin_formatted_2020,last_name_2020, first_name_2020,n_pitches_2020,spin_rate_2021,movement_inches_2021,active_spin_formatted_2021,n_pitches_2021,spin_diff,movement_diff,active_spin_diff
461829,2707,21.6,87,González,Gio,109,2358,17.2,78,214,349.0,4.400000000000002,9.0
448855,2725,13.0,53,Guerra,Junior,78,1896,12.8,75,227,829.0,0.1999999999999993,-22.0
571760,2550,8.6,39,Heaney,Andrew,252,1896,8.7,64,456,654.0,-0.09999999999999964,-25.0
605288,2017,17.5,95,Houser,Adrian,107,3007,23.7,85,172,-990.0,-6.199999999999999,10.0
641712,2273,8.7,64,Hudson,Dakota,95,2691,18.0,78,268,-418.0,-9.3,-14.0
518876,2614,16.7,70,Kelly,Merrill,104,2479,19.8,84,246,135.0,-3.1000000000000014,-14.0
605359,2710,14.6,62,Marshall,Evan,113,2458,17.9,77,219,252.0,-3.299999999999999,-15.0
595001,2875,20.0,73,Smith,Josh A.,88,2696,9.2,39,104,179.0,10.8,34.0
622251,2947,20.5,88,Staumont,Josh,104,1971,17.4,57,110,976.0,3.1000000000000014,31.0
663765,2529,23.6,98,Woodford,Jake,75,2822,21.0,79,307,-293.0,2.6000000000000014,19.0
640470,2892,13.3,52,Alzolay,Adbert,89,2987,26.6,98,400,-95.0,-13.3,-46.0
502624,2100,19.1,96,Anderson,Chase,101,2708,18.0,72,430,-608.0,1.1000000000000014,24.0
621244,2357,16.1,49,Berríos,José,316,2364,18.3,76,418,-7.0,-2.1999999999999993,-27.0
605182,2304,14.0,65,Clevinger,Mike,81,2491,19.1,84,144,-187.0,-5.100000000000001,-19.0
543135,2121,13.7,80,Eovaldi,Nathan,122,2291,11.9,59,113,-170.0,1.799999999999999,21.0
594835,2305,19.0,88,Gonzales,Marco,150,2435,16.0,72,117,-130.0,3.0,16.0
543294,2815,22.3,85,Hendricks,Kyle,177,2617,20.2,90,268,198.0,2.1000000000000014,-5.0
572955,2976,15.4,59,Johnson,Pierce,138,2504,18.0,54,389,472.0,-2.5999999999999996,5.0
666200,2537,3.3,18,Luzardo,Jesús,188,2658,22.9,86,189,-121.0,-19.599999999999998,-68.0
450203,2886,22.1,79,Morton,Charlie,212,2618,18.9,80,539,268.0,3.200000000000003,-1.0
642547,2361,18.0,62,Peralta,Freddy,106,2487,15.5,69,160,-126.0,2.5,-7.0
527048,2522,9.6,46,Pérez,Martín,95,2295,16.3,79,160,227.0,-6.700000000000001,-33.0
608717,3151,19.3,76,Stratton,Chris,79,2352,9.9,42,185,799.0,9.4,34.0
573204,2561,25.1,100,Thielbar,Caleb,93,2165,7.2,43,194,396.0,17.900000000000002,57.0
664285,3009,21.5,76,Valdez,Framber,278,2805,20.1,77,682,204.0,1.3999999999999986,-1.0
592836,2469,21.3,94,Walker,Taijuan,78,2879,22.2,92,103,-410.0,-0.8999999999999986,2.0
642232,2317,18.5,78,Yarbrough,Ryan,82,2428,14.5,68,125,-111.0,4.0,10.0
624418,2454,14.8,73,Castellani,Ryan,119,3224,22.3,73,233,-770.0,-7.5,0.0
592233,2578,17.4,80,Crichton,Stefan,140,2953,18.8,69,108,-375.0,-1.4000000000000021,11.0
664045,1773,11.3,70,Eshelman,Thomas,91,2566,14.0,67,188,-793.0,-2.6999999999999993,3.0
675916,2368,9.7,49,Karinchak,James,212,2512,20.8,84,336,-144.0,-11.100000000000001,-35.0
477132,2533,19.3,80,Kershaw,Clayton,135,2824,17.9,62,177,-291.0,1.4000000000000021,18.0
670950,2024,5.4,24,Richards,Trevor,93,2661,17.5,67,275,-637.0,-12.1,-43.0
657053,2528,21.3,89,Toussaint,Touki,142,2758,14.5,51,365,-230.0,6.800000000000001,38.0
425794,2791,24.8,97,Wainwright,Adam,344,2887,17.0,49,932,-96.0,7.800000000000001,48.0
650893,2480,15.3,71,Cabrera,Génesis,116,2638,17.4,68,342,-158.0,-2.099999999999998,3.0
663474,2224,11.0,59,McKenzie,Triston,91,2322,18.5,72,131,-98.0,-7.5,-13.0
605540,2605,13.1,59,Woodruff,Brandon,76,2678,18.0,71,108,-73.0,-4.9,-12.0
518516,2506,12.5,63,Bumgarner,Madison,136,2325,22.2,93,153,181.0,-9.7,-30.0
664042,2726,18.8,77,Lakins Sr.,Travis,103,2872,15.7,68,465,-146.0,3.1000000000000014,9.0
656756,2279,5.4,40,Montgomery,Jordan,164,2635,17.1,76,183,-356.0,-11.700000000000001,-36.0
622608,2308,12.0,62,Senzatela,Antonio,95,2244,14.3,65,149,64.0,-2.3000000000000007,-3.0
594965,2665,21.0,87,Ponce de Leon,Daniel,123,3002,21.2,76,176,-337.0,-0.1999999999999993,11.0
